n,b,c,d
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(一)加强统筹协调,""weight"":0.6493379059440345,""entity"":938}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":市区两级工作专班统筹推进进一步提高企业开办效率优化营商环境的有关工作，各部门加强沟通协作，确保各项改革举措落实到位，全力保障首都营商环境持续优化,""weight"":0.7421034482719674,""entity"":1595}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(一)加强统筹协调,""weight"":0.6493379059440345,""entity"":938}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":市区两级工作专班统筹推进进一步提高企业开办效率优化营商环境的有关工作，各部门加强沟通协作，确保各项改革举措落实到位，全力保障首都营商环境持续优化,""weight"":0.7421034482719674,""entity"":1595}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(四)强化事中事后监管，营造稳定、公平、透明、可预期的营商环境,""weight"":1.5464807183805718,""entity"":1761}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":不断完善跨部门联合惩戒机制，建立健全信用约束机制，积极引导企业自律，加强社会监督，使优化营商环境改革成为推动形成新型市场监管体制机制的催化剂,""weight"":0.7732110032315669,""entity"":1577}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(四)强化事中事后监管，营造稳定、公平、透明、可预期的营商环境,""weight"":1.5464807183805718,""entity"":1761}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":不断完善跨部门联合惩戒机制，建立健全信用约束机制，积极引导企业自律，加强社会监督，使优化营商环境改革成为推动形成新型市场监管体制机制的催化剂,""weight"":0.7732110032315669,""entity"":1577}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(四)强化事中事后监管，营造稳定、公平、透明、可预期的营商环境,""weight"":1.5464807183805718,""entity"":1761}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":各部门要强化监管理念，按照""谁审批、谁监管，谁主管、谁监管""的原则，主动规范企业经营行为，制定完善监管办法，明确监管标准、监管方式和监管措施，实现公平、公正监管,""weight"":0.994202639635674,""entity"":504}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(四)强化事中事后监管，营造稳定、公平、透明、可预期的营商环境,""weight"":1.5464807183805718,""entity"":1761}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":各部门要强化监管理念，按照""谁审批、谁监管，谁主管、谁监管""的原则，主动规范企业经营行为，制定完善监管办法，明确监管标准、监管方式和监管措施，实现公平、公正监管,""weight"":0.994202639635674,""entity"":504}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(三)推进审批制度改革，落实""证照分离""和""多证合一""改革内容,""weight"":0.7736025777767895,""entity"":1918}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":全面梳理、分类处理各类涉企证照事项，对于""证照分离""改革后属于信息采集、记载公示、管理备案查询的事项，,""weight"":0.5477400319519681,""entity"":1063}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(三)推进审批制度改革，落实""证照分离""和""多证合一""改革内容,""weight"":0.7736025777767895,""entity"":1918}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":全面梳理、分类处理各类涉企证照事项，对于""证照分离""改革后属于信息采集、记载公示、管理备案查询的事项，,""weight"":0.5477400319519681,""entity"":1063}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(三)推进审批制度改革，落实""证照分离""和""多证合一""改革内容,""weight"":0.7736025777767895,""entity"":1918}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":在""e窗通""平台纳入""多证合一""和""证照分离""改革事项，,""weight"":0.33638075524525846,""entity"":2918}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(三)推进审批制度改革，落实""证照分离""和""多证合一""改革内容,""weight"":0.7736025777767895,""entity"":1918}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":在""e窗通""平台纳入""多证合一""和""证照分离""改革事项，,""weight"":0.33638075524525846,""entity"":2918}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(二)推广电子证照服务，提升电子营业执照和统一社会信用代码的社会认知度,""weight"":0.5464807183805719,""entity"":3327}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":逐步提升统一社会信用代码的社会认知度，真正实现市场主体""一照一码走天下"",""weight"":0.32783656505002895,""entity"":3097}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(二)推广电子证照服务，提升电子营业执照和统一社会信用代码的社会认知度,""weight"":0.5464807183805719,""entity"":3327}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":逐步提升统一社会信用代码的社会认知度，真正实现市场主体""一照一码走天下"",""weight"":0.32783656505002895,""entity"":3097}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(二)推广电子证照服务，提升电子营业执照和统一社会信用代码的社会认知度,""weight"":0.5464807183805719,""entity"":3327}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":为所有企业颁发载有市场主体身份信息的电子营业执照,""weight"":0.2967153389925447,""entity"":3252}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(二)推广电子证照服务，提升电子营业执照和统一社会信用代码的社会认知度,""weight"":0.5464807183805719,""entity"":3327}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":为所有企业颁发载有市场主体身份信息的电子营业执照,""weight"":0.2967153389925447,""entity"":3252}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(一)优化网上服务平台，确保""一次填报，三天办结"",""weight"":1.2635810593560433,""entity"":815}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":系统预留扩展空间，可根据使用情况和用户反馈适时优化改进,""weight"":0.21572515532794112,""entity"":3011}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(一)优化网上服务平台，确保""一次填报，三天办结"",""weight"":1.2635810593560433,""entity"":815}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":系统预留扩展空间，可根据使用情况和用户反馈适时优化改进,""weight"":0.21572515532794112,""entity"":3011}"
