entity:ID,name,:LABEL,主题分类,实施日期,成文日期,发文字号,废止日期,发布日期,有效性,文件来源
470,关于开通非本市户籍人员与单位解除劳动关系销户提取住房公积金网上办结的公告,文件,劳动、人事、监察/人事工作,2021-02-01,2021-01-26,----,----,2021-01-26,有效,政府公报 年 第期(总第期)
473,北京市交通委员会关于进一步明确北京市普通公路养护工程施工合同价款支付工作的通知,文件,经济、交通/公路,----,2020-01-22,京交公管发〔2020〕4号,----,2020-01-22,有效,政府公报 年 第期(总第期)
475,北京市规划和自然资源委员会关于进一步明确勘察设计质量事后检查工作方式的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2019-12-11,京规自发〔2019〕447号,----,2019-12-11,有效,政府公报 年 第期(总第期)
507,北京市城市管理委员会 北京市交通委员会路政局 北京市公安局公安交通管理局关于做好涉及占掘路审批的低压电力接入工程优化营商环境有关工作的通知,文件,经济、交通/其他,----,2018-04-10,京管函〔2018〕125号,----,2018-04-26,有效,政府公报 2018年 第18期(总第558期)
515,北京海关关于进一步优化口岸营商环境促进跨境贸易便利化若干措施的公告,文件,商贸、海关、旅游/海关,2021-02-10,----,〔2021年〕第1号,----,2021-02-10,----,政府公报 年 第期(总第期)
537,北京市生态环境行政处罚自由裁量基准(2021版),文件,城乡建设、环境保护/环境监测、保护与治理,2021-04-01,2021-03-23,京环发〔2021〕5号,----,2021-03-25,有效,政府公报 2021年 第21期(总第705期)
546,关于进一步拓展“北京冷链”追溯食品品种的通告,文件,市场监管、安全生产监管/食品药品监管,----,2021-01-29,----,----,2021-01-29,有效,政府公报 年 第期(总第期)
587,北京市住房和城乡建设委员会关于修订《北京市房屋建筑和市政基础设施工程施工安全监督实施办法》的通知,文件,城乡建设、环境保护/城乡建设（含住房）,2019-11-13,2019-11-13,京建法〔2019〕16号,----,2019-11-13,有效,政府公报 年 第期(总第期)
591,天津港集团口岸“一站式阳光价格(升级版)”清单,文件,----,----,----,----,----,2020-04-22,有效,政府公报 年 第期(总第期)
592,最高人民法院关于严格规范民商事案件延长审限和延期开庭问题的规定,文件,公安、安全、司法/司法,2018-04-26,2018-04-23,法释〔2018〕9号,----,2018-04-23,无效,政府公报 年 第期(总第期)
627,关于调整本市销售电价有关问题的通知,文件,国民经济、国有资产监管/价格,2018-07-01,2018-07-30,京发改〔2018〕1556号,----,2018-08-01,有效,政府公报 年 第期(总第期)
646,北京市规划和自然资源委员会 中国银行保险监督管理委员会北京监管局 北京住房公积金管理中心关于网上办理抵押权首次登记的通知,文件,城乡建设、环境保护/其他,2019-09-01,2019-08-29,京规自发〔2019〕325号,----,2019-08-29,有效,政府公报 年 第期(总第期)
651,北京市优化营商环境条例,文件,商贸、海关、旅游/其他,2020-04-28,2020-03-27,北京市人民代表大会常务委员会公告〔十五届〕第25号,----,2020-04-01,有效,政府公报 年 第期(总第期)
676,国家税务总局北京市税务局关于进一步推进破产便利化 优化营商环境的公告,文件,财政、金融、审计/税务,2020-04-03,2020-04-03,2020年第4号,----,2020-04-03,有效,政府公报 2020年 第31期(总第667期)
690,北京市交通委员会关于印发《北京市公路养护工程项目招标投标管理办法》的通知,文件,经济、交通/公路,2020-01-22,2020-01-22,京交公管发〔2020〕3号,----,2020-01-22,有效,政府公报 年 第期(总第期)
707,关于印发《城市管理综合执法行政处罚信息公示期管理暂行规定》和《行政违法行为分类目录》的通知,文件,综合政务/其他,2021-01-01,2020-12-31,京城管发〔2020〕93号,----,2020-12-31,有效,政府公报 2021年 第11期(总第695期)
709,国家税务总局北京市税务局关于发布《办税事项“全程网上办“清单》的公告,文件,财政、金融、审计/税务,2020-01-01,2020-01-10,国家税务总局北京市税务局公告2020年第2号,----,2020-01-17,有效,政府公报 年 第期(总第期)
718,北京市人力资源和社会保障局 北京市财政局 中国人民银行营业管理部关于印发《北京市创业担保贷款借款人资格认定细则》的通知,文件,财政、金融、审计/财政,2018-02-09,2018-02-09,京人社服发〔2018〕41号,----,2018-02-09,有效,政府公报 2018年 第18期(总第558期)
744,北京市人力资源和社会保障局关于启用北京市电子职称证书的通知,文件,劳动、人事、监察/劳动就业,2021-01-20,2021-01-20,京人社事业发〔2021〕2号,----,2021-01-20,有效,政府公报 2021年 第14期(总第698期)
776,国家税务总局北京市税务局关于更新《办税事项“最多跑一次“清单》的通知,文件,财政、金融、审计/税务,----,2020-12-31,----,----,2020-12-31,有效,政府公报 年 第期(总第期)
777,北京市工商行政管理局 北京市公安局 北京市财政局 北京市人力资源和社会保障局 北京市住房和城乡建设委员会 北京市城市管理委员会 北京市农业局 北京市商务委员会 北京市旅游发展委员会 北京市新闻出版广电局 北京市粮食局 北京市气象局 北京海关 北京住房公积金管理中心关于贯彻执行全国统一“多证合一”改革有关工作的通知,文件,市场监管、安全生产监管/工商,----,2018-06-28,京工商发〔2018〕22号,----,2018-08-20,有效,政府公报 2018年 第28期(总第568期)
818,北京市高级人民法院关于印发《北京市高级人民法院关于全面推行“接诉即答”“接单即办”联系法官工作机制的意见》的通知,文件,公安、安全、司法/司法,2020-01-08,2020-01-08,京高法发〔2020〕26号,----,2020-01-08,有效,政府公报 年 第期(总第期)
820,北京市人力资源和社会保障局关于建立北京市专业技术人员职业资格与职称对应关系的通知,文件,劳动、人事、监察/人事工作,----,2019-06-04,京人社事业发〔2019〕87号,----,2019-06-05,有效,政府公报 2019年 第29期(总第617期)
836,北京市发展和改革委员会 北京市规划和自然资源委员会 北京市交通委员会 北京市水务局关于推进本市勘察设计、交通、水务等领域招标项目全流程电子化交易的通知,文件,商贸、海关、旅游/其他,2020-01-01,2019-12-27,----,----,2019-12-31,有效,政府公报 年 第期(总第期)
862,北京市规划和自然资源委员会关于北京市不动产抵押登记同城通办的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2019-12-27,京规自发〔2019〕474号,----,2019-12-27,有效,政府公报 年 第期(总第期)
865,北京市住房和城乡建设委员会关于简化施工许可变更程序有关工作的通知,文件,城乡建设、环境保护/城乡建设（含住房）,2020-01-07,2020-01-07,京建发〔2020〕6号,----,2020-01-07,有效,政府公报 年 第期(总第期)
895,北京市政务服务管理局 北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 北京住房公积金管理中心 中国人民银行营业管理部关于实行新企业开办“一窗办理”服务模式的意见(试行),文件,综合政务/其他,----,2019-04-23,京政服发〔2019〕14号,----,2019-04-23,有效,政府公报 2019年 第23期(总第611期)
912,国家税务总局北京市税务局关于深入贯彻落实减税降费政策措施的通知,文件,财政、金融、审计/税务,----,2019-01-25,京税发〔2019〕23号,----,2019-01-25,有效,政府公报 年 第期(总第期)
922,北京市自动驾驶车辆道路测试管理实施细则(试行),文件,经济、交通/公路,2020-11-13,2020-11-12,----,----,2020-11-13,有效,政府公报 年 第期(总第期)
937,北京市住房和城乡建设委员会关于进一步落实简易低风险工程质量安全监督检查要求的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2020-03-09,京建便函〔2020〕271号,----,2020-03-09,有效,政府公报 年 第期(总第期)
947,北京市财政局 国家税务总局北京市税务局转发财政部 税务总局关于实施小微企业普惠性税收减免政策的通知,文件,财政、金融、审计/税务,2019-01-01,2019-01-30,京财税〔2019〕196号,----,2019-01-30,有效,政府公报 年 第期(总第期)
1025,关于降低本市社会保险费率的通知,文件,劳动、人事、监察/社会保障,2019-05-01,2019-04-28,京人社养发〔2019〕67号,----,2019-04-30,有效,政府公报 年 第期(总第期)
1029,北京市住房和城乡建设委员会关于印发《北京市房屋建筑和市政基础设施工程质量风险分级管控技术指南(试行)》的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2019-12-12,京建发〔2019〕438号,----,2019-12-20,有效,政府公报 年 第期(总第期)
1032,北京市规划和自然资源委员会关于在不动产登记领域服务窗口推行转移登记与抵押权登记一并办理的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2019-12-06,京规自发〔2019〕440号,----,2019-12-06,有效,政府公报 年 第期(总第期)
1046,北京市财政局转发财政部关于开展政府采购意向公开工作的通知,文件,财政、金融、审计/财政,----,2020-04-24,京财采购〔2020〕649号,----,2020-04-27,有效,政府公报 年 第期(总第期)
1067,关于启用初级注册安全工程师职业资格电子证书的通知,文件,劳动、人事、监察/人事工作,2021-01-29,2021-01-29,京人社事业发〔2021〕5号,----,2021-01-29,有效,政府公报 2021年 第14期(总第698期)
1073,北京市高级人民法院等部门关于建立企业破产工作府院联动统一协调机制的实施意见,文件,国民经济、国有资产监管/其他,----,2019-10-28,京高法发〔2019〕698号,----,2019-10-28,有效,政府公报 年 第期(总第期)
1091,关于本市民办职业技能培训机构设立实行告知承诺审批的通告,文件,劳动、人事、监察/社会保障,2020-11-24,2020-10-30,京人社发〔2020〕19号,----,2020-11-24,有效,政府公报 2021年 第3期(总第687期)
1109,北京市发展和改革委员会 北京市经济和信息化局关于做好社会投资简易低风险工程建设项目备案管理工作的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2019-12-02,京发改〔2019〕1647号,----,2019-12-02,----,政府公报 年 第期(总第期)
1140,北京市城市管理委员会 北京市规划和国土资源管理委员会 北京市住房和城乡建设委员会 北京市水务局 北京市园林绿化局 北京市交通委员会路政局 北京市公安局公安交通管理局关于北京市进一步优化电、水、气、热接入营商环境的意见(试行),文件,国土资源、能源/其他,----,2018-03-16,京管发〔2018〕31号,----,2018-03-18,有效,政府公报 2018年 第11期(总第551期)
1146,国家税务总局北京市税务局关于发布《增值税发票分类分级管理办法》的公告,文件,财政、金融、审计/税务,2020-11-01,2020-09-23,国家税务总局北京市税务局公告2020年第8号,----,2020-09-27,有效,政府公报 年 第期(总第期)
1155,北京市住房和城乡建设委员会关于社会投资低风险小型建设项目施工许可试行告知承诺制的通知,文件,城乡建设、环境保护/其他,2020-10-09,2020-08-31,----,----,2020-09-04,有效,政府公报 年 第期(总第期)
1162,国家税务总局北京市税务局关于更新《办税事项“最多跑一次”清单》的公告,文件,财政、金融、审计/税务,2019-09-12,2019-09-05,国家税务总局北京市税务局公告2019年第7号,----,2019-09-12,有效,政府公报 年 第期(总第期)
1164,北京市发展和改革委员会关于调整本市输配电价有关问题的通知,文件,国民经济、国有资产监管/价格,2019-07-01,2019-05-30,京发改〔2019〕757号,----,2019-05-31,无效,政府公报 2019年 第25期(总第613期)
1171,北京法院速裁案件要素式审判若干规定(试行),文件,公安、安全、司法/司法,2018-04-28,2018-04-28,----,----,2018-04-28,有效,政府公报 年 第期(总第期)
1184,北京市规划和自然资源委员会关于开通利害关系人在线查询不动产登记信息并获取查询结果的通知,文件,城乡建设、环境保护/城乡建设（含住房）,2021-05-06,2021-05-06,京规自发〔2021〕146号,----,2021-05-06,有效,政府公报 年 第期(总第期)
1210,北京市高级人民法院关于印发《北京市高级人民法院关于加快破产案件审理的意见》的通知,文件,公安、安全、司法/司法,2018-04-04,2018-04-04,京高法发〔2018〕156号,----,2018-04-28,有效,政府公报 年 第期(总第期)
1235,北京市城市管理委员会关于印发新修订的北京市电力用户准入与退出管理实施细则等文件的通知,文件,国土资源、能源/电力,----,2020-08-31,京管发〔2020〕27号,----,2020-09-01,有效,政府公报 2020年 第42期(总第678期)
1250,关于进一步规范行业协会商会收费管理的通知,文件,民政、扶贫、救灾/其他,----,2020-09-11,----,----,2020-09-11,有效,政府公报 年 第期(总第期)
1264,北京市人民政府办公厅关于进一步做好电子营业执照推广应用工作的通知,文件,市场监管、安全生产监管/工商,----,2019-04-28,京政办发〔2019〕12号,----,2019-04-28,有效,政府公报 2019年 第19期(总第607期)
1265,北京市小规模食品生产经营管理规定,文件,市场监管、安全生产监管/食品药品监管,2019-07-01,2018-12-27,----,----,2019-01-02,有效,政府公报 年 第期(总第期)
1313,北京市地方金融监督管理局 中国人民银行营业管理部 中国银行保险监督管理委员会北京监管局关于印发《关于加快优化金融信贷营商环境的意见》的通知,文件,财政、金融、审计/财政,----,2020-02-28,京金融〔2020〕31号,----,2020-02-29,有效,政府公报 2020年 第15期(总第651期)
1330,天津海关关于公布新冠肺炎疫情防控期间实施进口货物“船边直提”和出口货物货物“抵港直装”配套细则的通知,文件,商贸、海关、旅游/海关,----,2020-02-14,----,----,2020-02-14,有效,政府公报 年 第期(总第期)
1345,关于本市道路货物运输驾驶员从业资格考试制度改革的通告,文件,经济、交通/公路,----,2020-12-31,​京交货运发〔2020〕27号,----,2020-12-31,有效,政府公报 年 第期(总第期)
1347,北京市区域交通评估实施细则(试行),文件,经济、交通/其他,2021-01-04,2021-01-04,京交规发〔2021〕1号,----,2021-01-04,有效,政府公报 年 第期(总第期)
1421,北京市市场监督管理局 北京市人民政府行政审批制度改革办公室关于印发《北京市市场主体登记告知承诺制度实施意见(试行)》的通知,文件,市场监管、安全生产监管/其他,2020-04-28,2020-04-26,京市监发〔2020〕50号,2022-04-27,2020-04-28,有效,政府公报 2020年 第23期(总第659期)
1425,北京市财政局等部门关于印发进一步优化“纳税“营商环境工作措施的通知,文件,财政、金融、审计/税务,----,2019-10-28,京财税〔2019〕2101号,----,2019-11-06,有效,政府公报 年 第期(总第期)
1472,北京市交通委员会关于印发《北京市公路养护工程管理实施办法》的通知,文件,经济、交通/公路,2020-01-22,2020-01-22,京交公管发〔2020〕2号,----,2020-01-22,有效,政府公报 年 第期(总第期)
1495,北京海关关于进一步扩大高级认证企业申请免除税款担保试点工作的公告,文件,商贸、海关、旅游/海关,2021-02-10,2021-02-10,北京海关公告2021年第2号,----,2021-02-10,----,政府公报 年 第期(总第期)
1520,北京市企业投资项目“区域评估+标准地+承诺制+政府配套”改革试点工作方案,文件,商贸、海关、旅游/其他,----,2021-02-10,京发改〔2021〕216号,----,2021-02-19,有效,政府公报 年 第期(总第期)
1554,北京市交通委员会 北京市公安局公安交通管理局关于进一步加强公路养护工程管理有关工作的通知,文件,经济、交通/公路,2020-03-06,2020-03-06,京交公管发〔2020〕7号,----,2020-03-06,有效,政府公报 年 第期(总第期)
1566,北京市高级人民法院关于充分发挥审判职能 为优化首都营商环境提供司法保障的实施意见,文件,公安、安全、司法/司法,----,2019-05-13,----,----,2019-05-13,有效,政府公报 年 第期(总第期)
1593,全面推行证明告知承诺制实施方案,文件,综合政务/其他,----,2021-01-30,京审改办发〔2021〕2号,----,2021-01-30,有效,政府公报 2021年 第21期(总第705期)
1616,优化营商环境更好服务市场主体工作方案,文件,市场监管、安全生产监管/其他,----,2021-04-28,京市监发〔2021〕31号,----,2021-04-28,有效,政府公报 年 第期(总第期)
1648,关于对本市部分环保行业实施用电支持政策的通知,文件,国民经济、国有资产监管/价格,2018-08-01,2018-07-30,京发改〔2018〕1559号,----,2018-08-01,有效,政府公报 年 第期(总第期)
1676,北京市高级人民法院、北京市人民检察院、北京市公安局、北京市司法局关于联动查控被执行人、打击拒执犯罪等工作的若干意见,文件,公安、安全、司法/公安,2019-05-13,2019-05-13,----,----,2019-05-13,有效,政府公报 年 第期(总第期)
1677,国网北京市电力公司安质部关于明确获得电力可靠性相关内容的通知,文件,国土资源、能源/电力,----,2018-03-20,安质〔2018〕12号,----,2018-03-20,有效,政府公报 年 第期(总第期)
1687,北京市规划和自然资源委员会关于推行北京市不动产登记电子证照的通知,文件,土地住房,2020-01-01,2019-12-26,京规自发〔2019〕472号,----,2019-12-26,有效,政府公报 年 第期(总第期)
1739,北京市城市管理委员会 北京市水务局 北京市经济和信息化局关于进一步优化水、电、气、热、通信接入服务措施的通知,文件,城乡建设、环境保护/其他,2019-01-01,2018-12-28,京管函〔2018〕618号,----,2018-12-28,有效,政府公报 年 第期(总第期)
1744,北京市规划和自然资源委员会关于进一步优化不动产登记信息查询服务的通知,文件,城乡建设、环境保护/城乡建设（含住房）,2020-04-28,2020-04-22,京规自发〔2020〕132号,----,2020-04-27,有效,政府公报 年 第期(总第期)
1781,北京市住房和城乡建设委员会 北京市规划和自然资源委员会关于进一步简化购房资格审核程序的通知,文件,城乡建设、环境保护/城乡建设（含住房）,2021-05-01,2021-04-24,京建发〔2021〕123号,----,2021-05-07,有效,政府公报 年 第期(总第期)
1786,关于深入优化京津口岸营商环境进一步促进跨境贸易便利化若干措施的公告,文件,商贸、海关、旅游/其他,----,2020-02-10,京津联合公告第6号,----,2020-02-17,有效,政府公报 2020年 第31期(总第667期)
1791,北京市交通委员会关于明确公路养护工程项目公告公示相关工作的通知,文件,经济、交通/公路,2021-03-31,2021-03-17,----,----,2021-03-31,有效,政府公报 年 第期(总第期)
1808,关于启用二级建造师、二级造价工程师职业资格电子证书的通知,文件,劳动、人事、监察/人事工作,2021-01-29,2021-01-26,京人社事业发〔2021〕4号,----,2021-01-29,有效,政府公报 2021年 第14期(总第698期)
1821,北京市发展和改革委员会关于调整本市水电企业上网电价的通知,文件,国民经济、国有资产监管/价格,2019-07-01,2019-05-30,京发改〔2019〕759号,----,2019-05-31,有效,政府公报 2019年 第25期(总第613期)
1825,关于推广应用北京市冷链食品追溯平台的通告,文件,市场监管、安全生产监管/食品药品监管,2020-11-01,2020-10-26,----,----,2020-10-26,有效,政府公报 年 第期(总第期)
1855,北京市规划和自然资源委员会 北京市住房和城乡建设委员会 国家税务总局北京市税务局关于优化不动产登记领域网上办理的补充通知,文件,城乡建设、环境保护/城乡建设（含住房）,2021-04-28,2021-04-26,京规自发〔2021〕135号,----,2021-04-28,有效,政府公报 年 第期(总第期)
1887,北京市市场监督管理局 国家税务总局北京市税务局 北京市人力资源和社会保障局 北京市商务局 北京住房公积金管理中心 北京海关关于进一步推进企业注销便利化优化营商环境的意见,文件,商贸、海关、旅游/其他,----,2019-01-31,京市监发〔2019〕5号,----,2019-02-13,有效,政府公报 年 第期(总第期)
1890,北京市人民政府办公厅转发市公安局《关于电子印章管理工作意见》的通知,文件,公安、安全、司法/公安,----,2019-04-19,京政办发〔2019〕8号,----,2019-04-19,有效,政府公报 2019年 第19期(总第607期)
1891,北京市城市管理委员会 北京市水务局 北京市经济和信息化委员会关于深化水、电、气、热、通信接入服务改革措施的意见(试行),文件,城乡建设、环境保护/其他,----,2018-03-13,京管函〔2018〕449号,----,2018-03-13,有效,政府公报 年 第期(总第期)
1895,关于开展应用医保电子凭证就医结算工作有关问题的通知,文件,卫生、体育/其他,2021-01-01,2020-12-15,京医保办发〔2020〕21号,----,2020-12-16,有效,政府公报 年 第期(总第期)
1921,北京市高级人民法院关于印发《北京市高级人民法院关于民事诉讼程序繁简分流改革试点的工作办法》的通知,文件,公安、安全、司法/司法,----,2020-02-11,京高法发〔2020〕59号,----,2020-02-28,有效,政府公报 年 第期(总第期)
1964,北京市教育委员会关于进一步规范民办非学历高等教育机构办学行为的意见,文件,科技教育/教育,----,2020-11-10,京教民〔2020〕10号,----,2020-11-11,有效,政府公报 2021年 第1期(总第685期)
1982,北京市住房和城乡建设委员会关于做好社会投资简易低风险工程建设项目建筑工程施工许可有关问题的通知,文件,城乡建设、环境保护/城乡建设（含住房）,2019-12-09,2019-12-09,京建发〔2019〕434号,----,2019-12-09,有效,政府公报 年 第期(总第期)
1988,国家税务总局北京市税务局关于增值税发票管理系统2.0版上线有关事项的通告,文件,财政、金融、审计/税务,----,2019-09-27,国家税务总局北京市税务局通告2019年第7号,----,2019-09-27,有效,政府公报 年 第期(总第期)
2089,北京市高级人民法院破产费用援助资金使用办法(试行),文件,公安、安全、司法/司法,2020-04-05,----,京高法发〔2020〕137号,----,2020-04-05,有效,政府公报 年 第期(总第期)
2094,北京市市场监督管理局关于印发优化营商环境更好服务市场主体工作方案的通知,文件,市场监管、安全生产监管/其他,----,2021-04-28,京市监发〔2021〕31号,----,2021-04-28,有效,政府公报 年 第期(总第期)
2122,国家发展和改革委员会办公厅印发《公共资源交易领域基层政务公开标准指引》的通知,文件,综合政务/其他,----,2019-07-02,发改办法规〔2019〕752号,----,2019-07-17,有效,政府公报 年 第期(总第期)
2126,北京市规划和自然资源委员会 中国银行保险监督管理委员会北京监管局 北京住房公积金管理中心关于网上办理抵押权注销登记的通知,文件,城乡建设、环境保护/城乡建设（含住房）,2019-06-10,2019-05-30,京规自发〔2019〕205号,----,2019-06-03,有效,政府公报 年 第期(总第期)
2135,关于推进纳税缴费便利化改革优化税收营商环境若干措施的通知,文件,财政、金融、审计/税务,----,2020-09-28,税总发〔2020〕48号,----,2020-09-28,有效,政府公报 年 第期(总第期)
2139,关于进一步推进工业产品生产许可证制度改革 加强事中事后监管有关工作的通知,文件,市场监管、安全生产监管/安全生产监管,2020-09-29,2020-10-13,京市监发〔2020〕129号,----,2020-10-13,有效,政府公报 年 第期(总第期)
2189,中国人民银行 银保监会 财政部 发展改革委 工业和信息化部关于进一步对中小微企业贷款实施阶段性延期还本付息的通知,文件,财政、金融、审计/财政,----,2020-06-01,银发〔2020〕122号,----,2020-06-01,有效,政府公报 年 第期(总第期)
2195,北京住房公积金管理中心关于缴存单位使用电子营业执照登录办理住房公积金缴存等有关事项的通知,文件,商贸、海关、旅游/其他,2019-03-20,2019-03-20,京房公积金发〔2019〕10号,----,2019-03-20,有效,政府公报 年 第期(总第期)
2201,北京市规划和自然资源委员会关于优化营商环境进一步提升不动产登记相关服务水平的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2020-03-06,京规自发〔2020〕63号,----,2020-03-06,有效,政府公报 年 第期(总第期)
2220,北京市市场监督管理局关于印发进一步推进市场主体登记便利化优化营商环境实施办法的通知,文件,市场监管、安全生产监管/其他,2020-04-28,2020-04-24,京市监发〔2020〕49号,----,2020-04-27,有效,政府公报 2020年 第23期(总第659期)
2273,北京市高级人民法院关于推进集约送达工作的规定(试行),文件,公安、安全、司法/司法,----,----,----,----,2019-05-13,有效,政府公报 年 第期(总第期)
2276,国家知识产权局关于深化知识产权领域“放管服”改革优化创新环境和营商环境的通知,文件,科技教育/知识产权,----,2021-05-10,国知发服字〔2021〕10号,----,2021-05-11,有效,政府公报 年 第期(总第期)
2293,北京市电子印章推广应用行动方案(试行),文件,综合政务/电子政务,----,2020-11-24,京经信发〔2020〕60号,----,2020-12-03,有效,政府公报 年 第期(总第期)
2325,关于深化京津口岸营商环境改革 进一步促进跨境贸易便利化若干措施的公告,文件,商贸、海关、旅游/对外经贸合作,----,2020-04-03,京津联合公告第7号,----,2020-04-07,有效,政府公报 年 第期(总第期)
2329,境外仲裁机构在中国(北京)自由贸易试验区设立业务机构登记管理办法,文件,公安、安全、司法/司法,2021-01-01,2020-12-28,京司发〔2020〕91号,----,2020-12-31,有效,政府公报 2021年 第8期(总第692期)
2337,北京市规划和自然资源委员会关于进一步优化企业综合窗口服务的通知,文件,商贸、海关、旅游/其他,----,2021-04-06,京规自发〔2021〕97号,----,2021-04-06,有效,政府公报 年 第期(总第期)
2375,北京市人民政府办公厅关于印发《北京市新一轮深化“放管服”改革优化营商环境重点任务》的通知,文件,市场监管、安全生产监管/其他,----,2019-11-06,京政办发〔2019〕19号,----,2019-11-19,有效,政府公报 2019年 第41期(总第629期)
2392,北京市规划和自然资源委员会关于进一步优化低风险项目规划自然资源管理相关工作的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2021-04-26,京规自发〔2021〕132号,----,2021-04-26,有效,政府公报 年 第期(总第期)
2395,北京市生态环境行政处罚行为分类及公示期限管理相关规定(2020年修订版),文件,城乡建设、环境保护/环境监测、保护与治理,----,2020-11-12,京环发〔2020〕27号,----,2020-11-13,无效,政府公报 2021年 第2期(总第686期)
2401,中国银行保险监督管理委员会 工业和信息化部 国家发展和改革委员会 财政部 中国人民银行 国家市场监督管理总局联合发布《关于进一步规范信贷融资收费 降低企业融资综合成本的通知》,文件,财政、金融、审计/银行,2020-06-01,2020-05-18,银保监发〔2020〕18号,----,2020-05-18,有效,政府公报 年 第期(总第期)
2410,北京市高级人民法院关于印发《北京市高级人民法院关于规范民商事案件延期开庭审理等事项的规定(试行)》的通知,文件,公安、安全、司法/司法,2020-03-11,2020-03-11,京高法发〔2020〕102号,----,2020-03-11,有效,政府公报 年 第期(总第期)
2418,北京市财政局 国家税务总局北京市税务局转发财政部 税务总局关于个人所得税法修改后有关优惠政策衔接问题的通知,文件,财政、金融、审计/税务,2019-01-01,2019-02-01,​京财税〔2019〕243号,----,2019-02-01,有效,政府公报 年 第期(总第期)
2423,北京市市场监督管理局 北京市人力资源和社会保障局 北京住房公积金管理中心关于进一步提高企业开办效率优化企业员工参保流程的通知,文件,市场监管、安全生产监管/其他,----,2020-04-21,​京市监发〔2020〕21号,----,2020-03-17,有效,政府公报 年 第期(总第期)
2442,北京市高级人民法院关于对外委托鉴定评估工作的规定(试行),文件,公安、安全、司法/司法,----,----,----,----,2019-05-13,有效,政府公报 年 第期(总第期)
