ID,name,name_brief,LABEL,weight
3346,逐步丰富系统功能，提供银行预约开户等优化服务，便利企业办事,逐步丰富系...,描述性措施,0.3065
2838,北京市交通委员会,北京市交通...,机构,nan
2326,及时听取社会各界对政策落实情况的意见建议，主动接受企业和群众监督,及时听取社...,描述性措施,0.3112
815,"(一)优化网上服务平台，确保""一次填报，三天办结""",(一)优化...,总结性措施,1.2636
311,北京市档案局,北京市档案...,机构,nan
2876,北京市发展和改革委员会,北京市发展...,机构,nan
828,二、积极推行“非接触式”办税方式,二、积极推...,总结性措施,0.1269
2900,作出虚假承诺的，直接撤销决定，按照未取得决定擅自从事相关活动追究相应法律责任，并将有关情况纳入本市信用信息平台,作出虚假承...,描述性措施,0.2693
852,北京市住房和城乡建设委员会,北京市住房...,机构,nan
2909,各区政府、各部门要紧密结合当前的改革实际，以便利群众办事为出发点和落脚点，做好人员安排、硬件设备、协作配合等工作，确保业务流程规范、软硬件支撑到位，部门衔接顺畅,各区政府、...,描述性措施,0.6777
2404,三、持续优化企业员工参保流程,三、持续优...,总结性措施,0.0877
2918,"在""e窗通""平台纳入""多证合一""和""证照分离""改革事项，","在""e窗通...",描述性措施,0.3364
371,严格落实食品追溯和疫情防控主体责任，保证所经营的进口冷链食品全部实现追溯，严格遵守“四无五不”管理要求，,严格落实食...,描述性措施,4.9412
2423,北京市规划和自然资源委员会,北京市规划...,机构,nan
3453,鼓励有条件的地区为企业提供单向或双向寄递服务,鼓励有条件...,描述性措施,0.2120
1918,"(三)推进审批制度改革，落实""证照分离""和""多证合一""改革内容",(三)推进...,总结性措施,0.7736
394,涉及许可审批事项的，由负责许可审批的行政管理部门依法监管,涉及许可审...,描述性措施,0.2464
1931,国家税务总局北京市税务局,国家税务总...,机构,nan
414,北京市医疗保障局,北京市医疗...,机构,nan
1950,第六条　市场主体登记机关依据法律法规及相关部门监督管理要求制定并公布告知承诺制登记标准和告知承诺书格式文本,第六条　市...,描述性措施,0.5194
938,(一)加强统筹协调,(一)加强...,总结性措施,0.6493
1980,北京海关,北京海关...,机构,nan
3011,系统预留扩展空间，可根据使用情况和用户反馈适时优化改进,系统预留扩...,描述性措施,0.2157
3013,集群登记的具体办法由各区政府、中关村园区管委会、北京经济技术开发区管委会制定，建立健全总量控制、行业禁入、服务管理、信用约束、有序退出等方面的管理制度，强化托管服务机构的主体责任,集群登记的...,描述性措施,0.5148
971,北京市市场监督管理局,北京市市场...,机构,nan
3534,北京住房公积金管理中心,北京住房公...,机构,nan
2516,登记机关对申请人提交的住所证明材料实行形式审查，不审查场所的权属、用途及使用功能,登记机关对...,描述性措施,0.4505
981,国家税务总局,国家税务总...,机构,nan
2531,北京市医疗保险事务管理中心,北京市医疗...,机构,nan
2022,同时，要严格落实有关时限要求，提高登记注册效率,同时，要严...,描述性措施,0.0793
504,"各部门要强化监管理念，按照""谁审批、谁监管，谁主管、谁监管""的原则，主动规范企业经营行为，制定完善监管办法，明确监管标准、监管方式和监管措施，实现公平、公正监管",各部门要强...,描述性措施,0.9942
3577,要强化电话咨询服务，及时解答网上办照遇到的问题，进一步畅通办照流程,要强化电话...,描述性措施,0.2737
