ID,name,name_brief,LABEL,主题分类,实施日期,成文日期,发文字号,废止日期,发布日期,有效性,文件来源
2258,关于深入推进企业开办便利化深化企业开办一网通办的通知,关于深入推...,文件,财政、金融、审计/税务,----,2021-04-16,京市监发〔2021〕23号,----,2021-04-16,有效,政府公报 年 第期(总第期)
3286,北京市市场监督管理局关于在我市部分区开展市场主体登记告知承诺制度试点的通知,北京市市场...,文件,市场监管、安全生产监管/其他,2020-02-15,2020-02-12,京市监函〔2020〕24号,----,2020-02-13,有效,政府公报 年 第期(总第期)
1764,北京市市场监督管理局 国家税务总局北京市税务局 北京市人力资源和社会保障局 北京住房公积金管理中心关于进一步优化办事流程推行“零接触”全程网上办理服务的通知,北京市市场...,文件,综合政务/其他,----,2020-03-31,京市监发〔2020〕37号,----,2020-04-20,有效,政府公报 年 第期(总第期)
3354,北京市市场监督管理局 国家税务总局北京市税务局 北京市人力资源和社会保障局 北京市商务局 北京住房公积金管理中心 北京海关关于进一步推进企业注销便利化优化营商环境的意见,北京市市场...,文件,商贸、海关、旅游/其他,----,2019-01-31,京市监发〔2019〕5号,----,2019-02-13,有效,政府公报 年 第期(总第期)
2843,北京市住房和城乡建设委员会关于印发《北京市房屋建筑和市政基础设施工程质量风险分级管控技术指南(试行)》的通知,北京市住房...,文件,城乡建设、环境保护/城乡建设（含住房）,----,2019-12-12,京建发〔2019〕438号,----,2019-12-20,有效,政府公报 年 第期(总第期)
1820,北京市城市管理委员会 北京市水务局 北京市经济和信息化委员会关于深化水、电、气、热、通信接入服务改革措施的意见(试行),北京市城市...,文件,城乡建设、环境保护/其他,----,2018-03-13,京管函〔2018〕449号,----,2018-03-13,有效,政府公报 年 第期(总第期)
1829,关于进一步拓展“北京冷链”追溯食品品种的通告,关于进一步...,文件,市场监管、安全生产监管/食品药品监管,----,2021-01-29,----,----,2021-01-29,有效,政府公报 年 第期(总第期)
3366,北京市住房和城乡建设委员会关于简化施工许可变更程序有关工作的通知,北京市住房...,文件,城乡建设、环境保护/城乡建设（含住房）,2020-01-07,2020-01-07,京建发〔2020〕6号,----,2020-01-07,有效,政府公报 年 第期(总第期)
1320,关于推进纳税缴费便利化改革优化税收营商环境若干措施的通知,关于推进纳...,文件,财政、金融、审计/税务,----,2020-09-28,税总发〔2020〕48号,----,2020-09-28,有效,政府公报 年 第期(总第期)
2883,北京市市场监督管理局 北京市人力资源和社会保障局 北京住房公积金管理中心关于进一步提高企业开办效率优化企业员工参保流程的通知,北京市市场...,文件,市场监管、安全生产监管/其他,----,2020-04-21,​京市监发〔2020〕21号,----,2020-03-17,有效,政府公报 年 第期(总第期)
3403,北京市住房和城乡建设委员会 北京市规划和自然资源委员会关于进一步简化购房资格审核程序的通知,北京市住房...,文件,城乡建设、环境保护/城乡建设（含住房）,2021-05-01,2021-04-24,京建发〔2021〕123号,----,2021-05-07,有效,政府公报 年 第期(总第期)
1873,北京市住房和城乡建设委员会关于社会投资低风险小型建设项目施工许可试行告知承诺制的通知,北京市住房...,文件,城乡建设、环境保护/其他,2020-10-09,2020-08-31,----,----,2020-09-04,有效,政府公报 年 第期(总第期)
3435,北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,北京市市场...,文件,综合政务/电子政务,----,2019-02-02,京市监发〔2019〕4号,----,2019-02-13,有效,政府公报 年 第期(总第期)
3464,北京市房屋建筑和市政基础设施工程竣工联合验收管理暂行办法,北京市房屋...,文件,城乡建设、环境保护/城乡建设（含住房）,2020-12-30,2020-11-18,京建法〔2020〕10号,----,2020-11-30,有效,政府公报 2021年 第5期(总第689期)
1430,北京市城市管理委员会等部门关于进一步优化营商环境 免除企业低压电力接入占掘路行政审批的通知,北京市城市...,文件,国土资源、能源/电力,2020-02-21,2020-02-21,京管发〔2020〕2号,----,2020-02-21,有效,政府公报 年 第期(总第期)
1443,北京市开展“证照分离“改革全覆盖试点工作方案,北京市开展...,文件,商贸、海关、旅游/其他,----,2020-07-25,京市监发〔2020〕98号,----,2020-08-07,有效,政府公报 年 第期(总第期)
429,北京市住房和城乡建设委员会 北京市市场监督管理局 北京市规划和自然资源委员会关于进一步优化社会投资简易低风险工程建设项目竣工联合验收工作的通知,北京市住房...,文件,城乡建设、环境保护/城乡建设（含住房）,2020-03-26,2020-03-26,京建发〔2020〕80号,----,2020-03-26,有效,政府公报 2020年 第23期(总第659期)
430,国家税务总局关于实施进一步支持和服务民营经济发展若干措施的通知,国家税务总...,文件,财政、金融、审计/税务,----,2018-11-16,税总发〔2018〕174号,----,2018-11-20,有效,政府公报 年 第期(总第期)
